zeit,temp_wasser,temp_wuerfel
1548.6,52.56,28.25
1549.2,52.56,28.5
1549.8,52.56,28.25
1550.4,52.56,28.25
1551.0,52.56,28.5
1551.6,52.56,28.0
1552.3,52.56,28.5
1552.8,52.56,28.5
1553.4,52.56,28.0
1554.0,52.56,28.75
1554.6,52.5,28.5
1555.2,52.56,28.25
1555.8,52.56,28.25
1556.4,52.5,28.0
1557.0,52.56,28.5
1557.6,52.5,28.5
1558.2,52.5,28.25
1558.8,52.5,28.25
1559.4,52.5,28.5
1560.0,52.5,28.0
1560.6,52.5,28.5
1561.2,52.5,28.25
1561.8,52.5,28.5
1562.4,52.5,28.25
1563.0,52.5,28.0
1563.6,52.5,27.75
1564.2,52.5,28.25
1564.8,52.5,28.5
1565.4,52.5,28.75
1566.0,52.5,28.75
1566.6,52.5,28.5
1567.2,52.5,28.25
1567.8,52.5,27.75
1568.4,52.5,28.5
1569.0,52.5,28.0
1569.6,52.5,28.25
1570.2,52.5,28.25
1570.8,52.5,28.0
1571.4,52.44,28.5
1572.0,52.5,27.75
1572.6,52.44,28.75
1573.2,52.5,28.0
1573.8,52.44,28.25
1574.3,52.5,28.25
1575.0,52.5,28.75
1575.5,52.44,28.25
1576.2,52.44,28.75
1576.7,52.44,28.5
1577.4,52.44,28.5
1577.9,52.44,28.25
1578.6,52.44,28.75
1579.1,52.44,28.25
1579.8,52.5,28.5
1580.3,52.44,28.25
1581.0,52.44,28.0
1581.5,52.5,28.0
1582.1,52.5,28.5
1582.7,52.5,28.75
1583.3,52.5,28.5
1583.9,52.44,28.75
1584.5,52.5,28.0
1585.1,52.44,28.0
1585.7,52.44,28.75
1586.3,52.44,28.75
1586.9,52.44,28.25
1587.5,52.44,28.25
1588.1,52.44,28.5
1588.7,52.44,28.5
1589.3,52.44,28.5
1589.9,52.44,28.75
1590.5,52.44,28.25
1591.1,52.44,28.25
1591.7,52.44,28.5
1592.3,52.38,28.5
1592.9,52.38,28.5
1593.5,52.44,28.5
1594.1,52.38,28.5
1594.8,52.38,28.5
1595.3,52.44,28.5
1595.9,52.44,28.5
1596.5,52.38,29.25
1597.1,52.38,28.25
1597.7,52.38,28.25
1598.3,52.38,28.0
1598.9,52.38,28.0
1599.5,52.38,28.25
1600.1,52.38,28.25
1600.7,52.38,28.5
1601.3,52.38,28.75
1601.9,52.38,28.0
1602.5,52.38,28.5
1603.1,52.38,28.5
1603.7,52.38,28.25
1604.3,52.31,28.0
1604.9,52.38,28.5
1605.5,52.38,28.0
1606.1,52.38,28.5
1606.7,52.38,28.25
1607.3,52.38,28.25
1607.9,52.38,28.25
1608.5,52.31,28.25
1609.1,52.38,28.5
